ID,Name,Age,Marks
1,Vincent Griffin,28,66
2,Vanessa Ryan,20,69
3,Tyler Wallace,20,66
4,Daniel Carr,27,55
5,Joe Williams,27,87
6,David Johnson,29,79
7,Amy Martinez,19,65
8,Derrick Ferguson,29,97
9,Susan Byrd,23,56
10,Shawn Stanton,27,64
11,Gabriel Oneal,28,80
12,Matthew Baldwin,22,51
13,Charles Nichols,21,67
14,Andrew Kennedy,25,54
15,Kathryn Terry,26,95
16,Ashley Rojas,30,56
17,Jennifer Mack,29,66
18,Nicholas Larson,19,57
19,Ronald Harris,18,95
20,Jonathan Haley,28,73
21,Jacqueline Potter,27,74
22,Alicia Smith,18,69
23,Samantha Norris,22,55
24,Lauren Martinez,27,59
25,Emily Howard,18,75
26,Jeffrey Best,28,94
27,Cindy Fitzgerald,30,99
28,Caitlyn Porter,29,71
29,Heather Jordan,28,91
30,Jennifer Moses,26,59
31,Ricardo Callahan,23,77
32,Samantha Jones,30,60
33,James Lawson,30,86
34,Julie Campbell,24,93
35,Martin Livingston,30,85
36,James Frost,29,63
37,Gloria Mccarthy,24,96
38,Kelly Gardner,25,55
39,Matthew Hughes,25,98
40,Vicki Davis,22,76
41,Sean Calhoun,27,87
42,Megan Smith,21,82
43,Brittany Wolfe,28,79
44,Vickie Lee,23,99
45,Eileen Hopkins,20,92
46,Deborah Snyder,29,64
47,Carol Hays,25,79
48,Sherry Norris,28,68
49,Debra Prince,27,77
50,Johnny Robbins,27,70
51,Eric Juarez,19,91
52,Gregory Kent,20,54
53,Audrey Ferrell,21,74
54,Alicia Patton,19,62
55,Robert Adams,24,64
56,John Russo,25,98
57,Jennifer Ball,22,66
58,Cathy Patel,24,65
59,Maurice Wilson,29,96
60,Jacob Glass MD,24,90
61,Micheal Hawkins,21,89
62,Robert Miller,20,85
63,Kathryn Bond,27,96
64,Matthew Williams,28,88
65,Laurie Kelly,20,81
66,John Johnson,25,76
67,Anthony Brown,28,68
68,Michael Lopez,29,81
69,Sara Davis,20,74
70,Courtney Robinson,25,51
71,Bradley Steele,29,59
72,Melanie Miller,22,62
73,Julie Wheeler,20,98
74,Hannah Schmidt,23,58
75,Brian Johnson,21,76
76,Jessica Blair,21,83
77,Denise White,20,50
78,Brittany Young,21,52
79,Sierra Mcintosh,29,98
80,Susan Torres,29,63
81,Gregory Terry,27,80
82,Richard Alvarado,24,75
83,Barbara Reed,23,52
84,Benjamin Ruiz,19,74
85,Nicole Webb,25,64
86,William Adams,21,85
87,Shirley Murphy,25,95
88,Felicia Lewis,20,56
89,Laura King,19,87
90,Michael Watson,24,95
91,Joseph Woodward,20,57
92,Monica Kaufman,25,96
93,Lauren Wolfe DDS,20,60
94,Todd Medina,21,93
95,Shannon Obrien,20,57
96,Donna Jordan,19,74
